bill_id,bill_type,submit_diet_no,bill_no,bill_subject,status,submit_person,submit_parties,representatives_accept_date,representatives_finish_date,representatives_deliveration_result,councilors_accept_date,councilors_finish_date,councilors_deliveration_result,promulgation_date,body_link
155,閣法,213,44,公益社団法人及び公益財団法人の認定等に関する法律の一部を改正する法律案,衆議院で審議中,内閣,,2024-03-05,,,,2024-04-04,可決,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309044.htm
156,閣法,213,45,公益信託に関する法律案,衆議院で審議中,内閣,,2024-03-05,,,,2024-04-04,可決,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309045.htm
157,閣法,213,46,総合法律支援法の一部を改正する法律案,成立,内閣,,2024-03-05,2024-04-17,可決,,2024-04-11,可決,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309046.htm
158,閣法,213,47,民法等の一部を改正する法律案,参議院で審議中,内閣,,,2024-04-12,修正,2024-03-08,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309047.htm
159,閣法,213,48,農業の生産性の向上のためのスマート農業技術の活用の促進に関する法律案,衆議院で審議中,内閣,,,,,2024-03-08,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309048.htm
160,閣法,213,49,漁業法及び特定水産動植物等の国内流通の適正化等に関する法律の一部を改正する法律案,衆議院で審議中,内閣,,,,,2024-03-08,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309049.htm
161,閣法,213,50,特定農産加工業経営改善臨時措置法の一部を改正する法律案,成立,内閣,,,2024-03-21,可決,2024-03-08,2024-04-04,可決,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309050.htm
162,閣法,213,51,建設業法及び公共工事の入札及び契約の適正化の促進に関する法律の一部を改正する法律案,衆議院で審議中,内閣,,,,,2024-03-08,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309051.htm
163,閣法,213,52,住宅確保要配慮者に対する賃貸住宅の供給の促進に関する法律等の一部を改正する法律案,衆議院で審議中,内閣,,2024-03-08,,,,2024-04-04,可決,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309052.htm
164,閣法,213,53,海洋再生可能エネルギー発電設備の整備に係る海域の利用の促進に関する法律の一部を改正する法律案,衆議院で審議中,内閣,,,,,2024-03-12,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309053.htm
165,閣法,213,54,育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律及び次世代育成支援対策推進法の一部を改正する法律案,衆議院で審議中,内閣,,,2024-04-26,可決,2024-03-12,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309054.htm
166,閣法,213,55,地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律案,衆議院で審議中,内閣,,,,,2024-03-15,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309055.htm
167,閣法,213,56,金融商品取引法及び投資信託及び投資法人に関する法律の一部を改正する法律案,衆議院で審議中,内閣,,,2024-04-26,可決,2024-03-15,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309056.htm
168,閣法,213,57,事業性融資の推進等に関する法律案,衆議院で審議中,内閣,,,,,2024-03-15,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309057.htm
169,閣法,213,58,出入国管理及び難民認定法等の一部を改正する法律案,衆議院で審議中,内閣,,,,,2024-03-15,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309058.htm
170,閣法,213,59,出入国管理及び難民認定法及び外国人の技能実習の適正な実施及び技能実習生の保護に関する法律の一部を改正する法律案,衆議院で審議中,内閣,,,,,2024-03-15,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309059.htm
171,閣法,213,60,資源循環の促進のための再資源化事業等の高度化に関する法律案,参議院で審議中,内閣,,,2024-04-12,可決,2024-03-15,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309060.htm
172,閣法,213,61,学校設置者等及び民間教育保育等事業者による児童対象性暴力等の防止等のための措置に関する法律案,衆議院で審議中,内閣,,,,,2024-03-19,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309061.htm
173,閣法,213,62,スマートフォンにおいて利用される特定ソフトウェアに係る競争の促進に関する法律案,衆議院で審議中,内閣,,,,,2024-04-26,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/
